"","Region","Year","Gender","Name","Count"
"129","Total Belgium",1995,"Girls","Steffi",93
"130","Total Belgium",1995,"Girls","Isabelle",92
"131","Total Belgium",1995,"Girls","Maud",91
"132","Total Belgium",1995,"Girls","Valerie",91
"133","Total Belgium",1995,"Girls","Anne",90
"134","Total Belgium",1995,"Girls","Lucie",89
"135","Total Belgium",1995,"Girls","Imane",89
"136","Total Belgium",1995,"Girls","Britt",89
"137","Total Belgium",1995,"Girls","Olivia",88
"138","Total Belgium",1995,"Girls","Alexia",86
"139","Total Belgium",1995,"Girls","Kaat",86
"140","Total Belgium",1995,"Girls","Sabrina",86
"141","Total Belgium",1995,"Girls","Nora",83
"142","Total Belgium",1995,"Girls","Yasmina",83
"143","Total Belgium",1995,"Girls","Helena",82
"144","Total Belgium",1995,"Girls","Yousra",82
"145","Total Belgium",1995,"Girls","Vanessa",82
"146","Total Belgium",1995,"Girls","Laurence",82
"147","Total Belgium",1995,"Girls","Madison",82
"148","Total Belgium",1995,"Girls","Leen",81
"149","Total Belgium",1995,"Girls","Zoë",80
"150","Total Belgium",1995,"Girls","Celien",80
"151","Total Belgium",1995,"Girls","Sien",79
"152","Total Belgium",1995,"Girls","Maureen",79
"153","Total Belgium",1995,"Girls","Juliette",78
"154","Total Belgium",1995,"Girls","Vicky",78
"155","Total Belgium",1995,"Girls","Bieke",78
"156","Total Belgium",1995,"Girls","Emeline",77
"157","Total Belgium",1995,"Girls","Deborah",77
"158","Total Belgium",1995,"Girls","Liesbeth",76
"159","Total Belgium",1995,"Girls","Brenda",75
"160","Total Belgium",1995,"Girls","Romane",74
"161","Total Belgium",1995,"Girls","Laurien",74
"162","Total Belgium",1995,"Girls","Anna",73
"163","Total Belgium",1995,"Girls","Rachel",73
"164","Total Belgium",1995,"Girls","Lies",73
"165","Total Belgium",1995,"Girls","Claudia",73
"166","Total Belgium",1995,"Girls","Zoé",72
"167","Total Belgium",1995,"Girls","Jade",72
"168","Total Belgium",1995,"Girls","Esther",72
"169","Total Belgium",1995,"Girls","Rebecca",72
"170","Total Belgium",1995,"Girls","Tatiana",71
"171","Total Belgium",1995,"Girls","Bo",69
"172","Total Belgium",1995,"Girls","Anne-Sophie",69
"173","Total Belgium",1995,"Girls","Kirsten",69
"174","Total Belgium",1995,"Girls","Yana",68
"175","Total Belgium",1995,"Girls","Florine",68
"176","Total Belgium",1995,"Girls","Merve",68
"177","Total Belgium",1995,"Girls","Janne",67
"178","Total Belgium",1995,"Girls","Hannelore",67
"179","Total Belgium",1995,"Girls","Evi",67
"180","Total Belgium",1995,"Girls","Daphne",67
"181","Total Belgium",1995,"Girls","Anneleen",67
"182","Total Belgium",1995,"Girls","Valérie",66
"183","Total Belgium",1995,"Girls","Catherine",65
"184","Total Belgium",1995,"Girls","Natacha",65
"185","Total Belgium",1995,"Girls","Clémence",64
"186","Total Belgium",1995,"Girls","Anissa",64
"187","Total Belgium",1995,"Girls","Chloë",64
"188","Total Belgium",1995,"Girls","Ines",63
"189","Total Belgium",1995,"Girls","Barbara",63
"190","Total Belgium",1995,"Girls","Inès",62
"191","Total Belgium",1995,"Girls","Paulien",62
"192","Total Belgium",1995,"Girls","Kato",61
"193","Total Belgium",1995,"Girls","Célia",60
"194","Total Belgium",1995,"Girls","Chiara",60
"195","Total Belgium",1995,"Girls","Sanne",60
"196","Total Belgium",1995,"Girls","Magali",60
"197","Total Belgium",1995,"Girls","Marlies",60
"198","Total Belgium",1995,"Girls","Lena",59
"199","Total Belgium",1995,"Girls","Alisson",59
"200","Total Belgium",1995,"Girls","Marion",58
"201","Total Belgium",1995,"Girls","Eloïse",58
"202","Total Belgium",1995,"Girls","Flore",58
"203","Total Belgium",1995,"Girls","Lola",56
"204","Total Belgium",1995,"Girls","Héloïse",56
"205","Total Belgium",1995,"Girls","Margo",56
"206","Total Belgium",1995,"Girls","Heleen",56
"207","Total Belgium",1995,"Girls","Gwendoline",56
"208","Total Belgium",1995,"Girls","Marieke",55
"209","Total Belgium",1995,"Girls","Lindsey",55
"210","Total Belgium",1995,"Girls","Melanie",54
"211","Total Belgium",1995,"Girls","Sandra",54
"212","Total Belgium",1995,"Girls","Shirley",54
"213","Total Belgium",1995,"Girls","Myriam",53
"214","Total Belgium",1995,"Girls","Maxime",53
"215","Total Belgium",1995,"Girls","Perrine",53
"216","Total Belgium",1995,"Girls","Daphné",53
"217","Total Belgium",1995,"Girls","Megane",52
"218","Total Belgium",1995,"Girls","Linde",51
"219","Total Belgium",1995,"Girls","Ashley",50
"220","Total Belgium",1995,"Girls","Fiona",50
"221","Total Belgium",1995,"Girls","Joni",49
"222","Total Belgium",1995,"Girls","Ludivine",49
"223","Total Belgium",1995,"Girls","Madisson",49
"224","Total Belgium",1995,"Girls","Allison",48
"225","Total Belgium",1995,"Girls","Fatima",47
"226","Total Belgium",1995,"Girls","Farah",47
"227","Total Belgium",1995,"Girls","Eveline",47
"228","Total Belgium",1995,"Girls","Maaike",47
"229","Total Belgium",1995,"Girls","Veerle",47
"230","Total Belgium",1995,"Girls","Laurine",46
"231","Total Belgium",1995,"Girls","Lieselot",46
"232","Total Belgium",1995,"Girls","Nikki",46
"233","Total Belgium",1995,"Girls","Ella",45
"234","Total Belgium",1995,"Girls","Febe",45
"235","Total Belgium",1995,"Girls","Evy",45
"236","Total Belgium",1995,"Girls","Tamara",45
"237","Total Belgium",1995,"Girls","Megan",45
"238","Total Belgium",1995,"Girls","Gwen",45
"239","Total Belgium",1995,"Girls","Amina",44
"240","Total Belgium",1995,"Girls","Joy",44
"241","Total Belgium",1995,"Girls","Nadia",44
"242","Total Belgium",1995,"Girls","Cheyenne",44
"243","Total Belgium",1995,"Girls","Jessie",44
"244","Total Belgium",1995,"Girls","Jasmien",43
"245","Total Belgium",1995,"Girls","Sandy",43
"246","Total Belgium",1995,"Girls","Sylvie",43
"247","Total Belgium",1995,"Girls","Nicky",43
"248","Total Belgium",1995,"Girls","Kelsey",43
"249","Total Belgium",1995,"Girls","Roxane",42
"250","Total Belgium",1995,"Girls","Samantha",42
"251","Total Belgium",1995,"Girls","Annelien",42
"252","Total Belgium",1995,"Girls","Lieselotte",42
"253","Total Belgium",1995,"Girls","Daisy",42
"254","Total Belgium",1995,"Girls","Gitte",41
"255","Total Belgium",1995,"Girls","Johanna",41
"256","Total Belgium",1995,"Girls","Lauranne",41
"257","Total Belgium",1995,"Girls","Siham",41
"258","Total Belgium",1995,"Girls","Cécile",41
"259","Total Belgium",1995,"Girls","Elena",40
"260","Total Belgium",1995,"Girls","Lana",40
"261","Total Belgium",1995,"Girls","Coline",40
"262","Total Belgium",1995,"Girls","Freya",40
"263","Total Belgium",1995,"Girls","Esra",40
"264","Total Belgium",1995,"Girls","Déborah",40
"265","Total Belgium",1995,"Girls","Ilse",40
"266","Total Belgium",1995,"Girls","Sofia",39
"267","Total Belgium",1995,"Girls","Jeanne",39
"268","Total Belgium",1995,"Girls","Hajar",39
"269","Total Belgium",1995,"Girls","Floriane",39
"270","Total Belgium",1995,"Girls","Maurine",39
"271","Total Belgium",1995,"Girls","Sandrine",39
"272","Total Belgium",1995,"Girls","Julia",38
"273","Total Belgium",1995,"Girls","Luna",38
"274","Total Belgium",1995,"Girls","Maria",38
"275","Total Belgium",1995,"Girls","Nisrine",38
"276","Total Belgium",1995,"Girls","Soumaya",38
"277","Total Belgium",1995,"Girls","Aude",38
"278","Total Belgium",1995,"Girls","Ikram",38
"279","Total Belgium",1995,"Girls","Leila",38
